date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:52:57	313/313	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:52:57%20GMT	https://spqr.eecs.umich.edu/tardis/publications-flat.php	spqr.eecs.umich.edu/tardis/publications-flat.9a.delayed	(from https://spqr.eecs.umich.edu/tardis/)
01:52:57	51/51	---M--	200	added ('OK')	text/css	etag:%22588009f-33-4ad78264b6a40%22	https://spqr.eecs.umich.edu/half-wits/half-wits.css	spqr.eecs.umich.edu/half-wits/half-wits.css	(from https://spqr.eecs.umich.edu/half-wits/)
01:52:58	104591/104591	---M--	200	added ('OK')	image/png	etag:%2258800a1-1988f-49f1849153240%22	https://spqr.eecs.umich.edu/half-wits/halfwits-logo.png	spqr.eecs.umich.edu/half-wits/halfwits-logo.png	(from https://spqr.eecs.umich.edu/half-wits/)
01:52:59	316/316	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:52:59%20GMT	https://spqr.eecs.umich.edu/half-wits/publications-flat.php	spqr.eecs.umich.edu/half-wits/publications-flat.9d.delayed	(from https://spqr.eecs.umich.edu/half-wits/)
01:52:59	311/311	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:52:59%20GMT	https://spqr.eecs.umich.edu/half-wits/spqrbib_bib.html	spqr.eecs.umich.edu/half-wits/spqrbib_bib.9e.delayed	(from https://spqr.eecs.umich.edu/half-wits/)
01:53:00	234/234	---M--	200	added ('OK')	text/css	etag:%2258801b3-ea-4ad4ef6c4f580%22	https://spqr.eecs.umich.edu/mementos/mementos.css	spqr.eecs.umich.edu/mementos/mementos.css	(from https://spqr.eecs.umich.edu/mementos/)
01:53:00	32990/32990	---M--	200	added ('OK')	image/png	etag:%2258801b0-80de-4a01ae5edbf80%22	https://spqr.eecs.umich.edu/mementos/asplos11-mementos-slide16.png	spqr.eecs.umich.edu/mementos/asplos11-mementos-slide16.png	(from https://spqr.eecs.umich.edu/mementos/)
01:53:01	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:53:01%20GMT	https://spqr.eecs.umich.edu/mementos/publications-flat.php	spqr.eecs.umich.edu/mementos/publications-flat.a2.delayed	(from https://spqr.eecs.umich.edu/mementos/)
01:53:02	310/310	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:53:02%20GMT	https://spqr.eecs.umich.edu/mementos/spqrbib_bib.html	spqr.eecs.umich.edu/mementos/spqrbib_bib.a3.delayed	(from https://spqr.eecs.umich.edu/mementos/)
01:53:02	50/50	---M--	200	added ('OK')	text/css	etag:%2258801bb-32-4ad4f0a14ce80%22	https://spqr.eecs.umich.edu/moo/moo.css	spqr.eecs.umich.edu/moo/moo.css	(from https://spqr.eecs.umich.edu/moo/)
01:53:03	27508/27508	---M--	200	added ('OK')	image/png	etag:%22588078d-6b74-4f18690acd480%22	https://spqr.eecs.umich.edu/moo/Moo_files/moo-logo.png	spqr.eecs.umich.edu/moo/Moo_files/moo-logo.png	(from https://spqr.eecs.umich.edu/moo/)
01:53:26	3855360/3855360	---M--	200	added ('OK')	application/vnd.ms-powerpoint	etag:%2258801bf-3ad400-4cdf11589afc0%22	https://spqr.eecs.umich.edu/moo/Documents/Moo_01242011.ppt	spqr.eecs.umich.edu/moo/Documents/Moo_01242011.ppt	(from https://spqr.eecs.umich.edu/moo/)
01:53:26	6226739/6226739	---M--	200	added ('OK')	application/pdf	etag:%2258801b1-5f0333-49dfc2eb86b00%22	https://spqr.eecs.umich.edu/mementos/asplos11-slides-ransford.pdf	spqr.eecs.umich.edu/mementos/asplos11-slides-ransford.pdf	(from https://spqr.eecs.umich.edu/mementos/)
01:53:27	472955/472955	---M--	200	added ('OK')	image/png	etag:%2258801c5-7377b-49bca964a6680%22	https://spqr.eecs.umich.edu/moo/Moo_files/Moo_Quarter.png	spqr.eecs.umich.edu/moo/Moo_files/Moo_Quarter.png	(from https://spqr.eecs.umich.edu/moo/)
01:53:27	66582/66582	---M--	200	added ('OK')	image/jpeg	etag:%2258801c4-10416-49bca964a6680%22	https://spqr.eecs.umich.edu/moo/Moo_files/Moo_Programmer.jpg	spqr.eecs.umich.edu/moo/Moo_files/Moo_Programmer.jpg	(from https://spqr.eecs.umich.edu/moo/)
01:53:27	5288754/5288754	---M--	200	added ('OK')	application/pdf	etag:%2258801be-50b332-4a3a290032fc0%22	https://spqr.eecs.umich.edu/moo/Documents/Moo_01242011.pdf	spqr.eecs.umich.edu/moo/Documents/Moo_01242011.pdf	(from https://spqr.eecs.umich.edu/moo/)
01:53:28	128787/128787	---M--	200	added ('OK')	image/jpeg	etag:%2258801c6-1f713-49bca964a6680%22	https://spqr.eecs.umich.edu/moo/Moo_files/Moo_Reader_Programmer_Computer.jpg	spqr.eecs.umich.edu/moo/Moo_files/Moo_Reader_Programmer_Computer.jpg	(from https://spqr.eecs.umich.edu/moo/)
01:53:28	310/310	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:53:28%20GMT	https://spqr.eecs.umich.edu/moo/publications-flat.php	spqr.eecs.umich.edu/moo/publications-flat.ac.delayed	(from https://spqr.eecs.umich.edu/moo/)
01:53:28	6352/6352	---M--	200	added ('OK')	text/html	date:Tue,%2029%20Nov%202016%2006:53:28%20GMT	https://spqr.eecs.umich.edu/moo/apps/concrete/	spqr.eecs.umich.edu/moo/apps/concrete/index.html	(from https://spqr.eecs.umich.edu/moo/)
01:53:29	305/305	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:53:29%20GMT	https://spqr.eecs.umich.edu/moo/spqrbib_bib.html	spqr.eecs.umich.edu/moo/spqrbib_bib.ad.delayed	(from https://spqr.eecs.umich.edu/moo/)
01:53:29	640/640	---M--	200	added ('OK')	text/plain	etag:%2258801bd-280-4cc474539c1c0%22	https://spqr.eecs.umich.edu/moo/wheres-the-beef.txt	spqr.eecs.umich.edu/moo/wheres-the-beef.txt	(from https://spqr.eecs.umich.edu/moo/)
01:53:30	3972/3972	---M--	200	added ('OK')	image/jpeg	etag:%2258801c9-f84-49bca964a6680%22	https://spqr.eecs.umich.edu/moo/Moo_files/nsf.jpg	spqr.eecs.umich.edu/moo/Moo_files/nsf.jpg	(from https://spqr.eecs.umich.edu/moo/)
01:53:30	14215/14215	---M--	200	added ('OK')	image/png	etag:%22588006a-3787-4f51fb4ec02c0%22	https://spqr.eecs.umich.edu/moo/Moo_files/sharpslogo.png	spqr.eecs.umich.edu/moo/Moo_files/sharpslogo.png	(from https://spqr.eecs.umich.edu/moo/)
01:53:31	0/0	---M--	200	added ('OK')	text/css	etag:%2258801f3-0-49c6b5574e300%22	https://spqr.eecs.umich.edu/payg/payg.css	spqr.eecs.umich.edu/payg/payg.b1.delayed	(from https://spqr.eecs.umich.edu/payg/)
01:53:32	133768/133768	---M--	200	added ('OK')	image/jpeg	etag:%2258801f1-20a88-49c573e690380%22	https://spqr.eecs.umich.edu/payg/ITPS.jpg	spqr.eecs.umich.edu/payg/ITPS.jpg	(from https://spqr.eecs.umich.edu/payg/)
01:53:33	314/314	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:53:33%20GMT	https://spqr.eecs.umich.edu/pmeters/publications-flat.php	spqr.eecs.umich.edu/pmeters/publications-flat.b5.delayed	(from https://spqr.eecs.umich.edu/pmeters/)
01:53:33	309/309	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:53:33%20GMT	https://spqr.eecs.umich.edu/pmeters/spqrbib_bib.html	spqr.eecs.umich.edu/pmeters/spqrbib_bib.b6.delayed	(from https://spqr.eecs.umich.edu/pmeters/)
01:53:34	45558/45558	---M--	200	added ('OK')	image/png	etag:%22588020c-b1f6-4a4c508dc23c0%22	https://spqr.eecs.umich.edu/trojansc/TrojanSideChannel3.png	spqr.eecs.umich.edu/trojansc/TrojanSideChannel3.png	(from https://spqr.eecs.umich.edu/trojansc/)
01:53:34	1117109/1117109	---M--	200	added ('OK')	image/png	etag:%2258801f5-110bb5-49c5726547680%22	https://spqr.eecs.umich.edu/pmeters/images/privacy_smart_meters.png	spqr.eecs.umich.edu/pmeters/images/privacy_smart_meters.png	(from https://spqr.eecs.umich.edu/pmeters/)
01:53:34	234/234	---M--	200	added ('OK')	text/css	etag:%225b02adb-ea-4dee9b1d33dc0%22	https://spqr.eecs.umich.edu/slpa/slpa.css	spqr.eecs.umich.edu/slpa/slpa.css	(from https://spqr.eecs.umich.edu/slpa/)
01:53:35	10339678/10339678	---M--	200	added ('OK')	application/pdf	etag:%2258801c0-9dc55e-4a6c5ecf3a040%22	https://spqr.eecs.umich.edu/moo/Documents/moo-tutorial.pdf	spqr.eecs.umich.edu/moo/Documents/moo-tutorial.pdf	(from https://spqr.eecs.umich.edu/moo/)
01:53:38	87109/87109	---M--	200	added ('OK')	image/png	etag:%225b02ada-15445-4dee9b1d33dc0%22	https://spqr.eecs.umich.edu/slpa/learning.png	spqr.eecs.umich.edu/slpa/learning.png	(from https://spqr.eecs.umich.edu/slpa/)
01:53:38	311/311	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:53:38%20GMT	https://spqr.eecs.umich.edu/slpa/publications-flat.php	spqr.eecs.umich.edu/slpa/publications-flat.ba.delayed	(from https://spqr.eecs.umich.edu/slpa/)
01:53:38	306/306	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Nov%202016%2006:53:38%20GMT	https://spqr.eecs.umich.edu/slpa/spqrbib_bib.html	spqr.eecs.umich.edu/slpa/spqrbib_bib.bb.delayed	(from https://spqr.eecs.umich.edu/slpa/)
01:53:39	2726844/2726844	---M--	200	added ('OK')	application/pdf	etag:%2258801f0-299bbc-4a4bf305db900%22	https://spqr.eecs.umich.edu/payg/BerlinerThesis4720112.pdf	spqr.eecs.umich.edu/payg/BerlinerThesis4720112.pdf	(from https://spqr.eecs.umich.edu/payg/)
